Nominee_Id,Nominee_FirstName,Nominee_LastName,Nominee_birthdate
99,Amelia,Harris,2000-01-25
100,Aria,Williams,1962-06-04
101,Olivia,Williams,1946-09-15
102,Yuki,Bianchi,1942-07-16
103,James,Thomas,1949-06-03
104,Kai,Bianchi,1999-12-09
105,Jamie,Nakamura,1952-04-06
106,Elijah,Harris,1967-08-21
107,Hugo,Martinez,1994-11-07
108,Sofia,Suzuki,1940-09-07
109,Juan,Moreau,1998-03-08
110,Lea,Brown,1949-06-10
111,Sofia,Smith,1946-10-03
112,Isabella,Kim,1949-06-02
113,Lea,Tanaka,1977-09-27
114,Hugo,Thompson,1953-08-16
115,James,Martinez,1948-12-16
116,Juan,Lewis,1999-02-18
117,Sophia,Ito,1949-12-16
118,Liam,Almeida,1946-02-13
119,Sora,Thomas,1970-03-16
120,Reese,Santos,1977-02-21
121,Daniel,Williams,1952-10-26
122,Akira,Brown,1976-05-10
123,Dylan,Moreau,1953-12-08
124,Henry,Williams,1969-10-19
125,Samuel,Park,1945-01-07
126,Nora,Moreau,1989-07-04
127,Hana,Taylor,1988-10-06
128,Jamie,Lee,1990-09-27
129,Eden,Martinez,1950-02-01
130,Samuel,Taylor,1956-08-12
131,Chloe,Choi,1943-08-05
132,Ethan,Park,1954-06-08
133,Adele,Tanaka,1980-02-11
134,Ava,Gonzalez,1964-11-28
135,Morgan,Taylor,1954-08-14
136,Zoe,Davis,2002-05-09
137,Adele,Clark,1993-04-25
138,Carlos,Romano,1987-08-04
139,Juan,Watanabe,1986-12-09
140,Claire,Moore,1987-12-25
141,Oliver,Romano,1954-06-24
142,Sophia,Taylor,1979-09-18
143,Aria,Pereira,1961-10-11
144,James,Choi,1948-12-02
145,Yuki,Jones,1974-07-25
146,Carlos,Thomas,1969-07-14
147,Harper,Garcia,1956-12-09
148,Mei,Robinson,1999-11-26
149,Carlos,Choi,1956-11-11
150,Keiko,Choi,1940-04-04
151,Eden,Lee,1963-02-01
152,Mia,Miller,1969-01-04
153,Evelyn,Thomas,1975-09-24
154,Olivia,Petit,1996-04-18
155,Louis,Rodriguez,1951-05-04
156,Elliot,Davis,1981-11-04
157,Mateo,Davis,1999-10-24
158,Samuel,Gonzalez,1959-12-06
159,Daria,Martin,1985-05-13
160,Amelia,Jackson,1971-02-07
161,Samuel,Davis,1949-11-28
162,Harper,Wilson,1948-09-02
163,Noah,Moore,1977-09-11
164,Noah,Martinez,1975-06-14
165,Samuel,Esposito,2001-08-03
166,Elijah,Patel,1979-12-28
167,Elijah,Martin,1970-12-23
168,Lucia,Lopez,1986-12-01
169,Sasha,Jones,1949-07-03
170,Mei,Davis,1995-02-04
171,Riley,Garcia,1977-08-04
172,Benjamin,Khan,1997-10-21
173,Lea,Anderson,1968-10-06
174,Ava,Choi,1960-04-16
175,Ava,Park,1993-01-14
176,Claire,Russo,1959-05-11
177,Noe,Garcia,2001-08-24
178,Akira,Gonzalez,1962-02-27
179,Evelyn,Gonzalez,1977-12-27
180,Riley,Davis,1968-12-03
181,Jamie,Miller,1990-05-17
182,Carlos,Costa,1957-09-17
183,Oliver,Khan,1954-03-26
184,Lucia,Miller,1949-04-28
185,Lucia,Anderson,1983-06-13
186,Elijah,Khan,1996-02-17
187,Lucas,Garcia,1965-08-01
188,Claire,Lee,1975-09-21
189,Avery,Martinez,1997-07-24
190,Ava,Petit,1943-12-08
191,Zoe,Kobayashi,1986-06-16
192,Ethan,Johnson,1953-11-20
193,Claire,Anderson,1964-06-25
194,Chloe,Costa,1950-04-10
195,Elijah,Robinson,1959-09-25
196,Lucia,Moreau,1980-10-27
197,Olivia,Taylor,1971-03-03
198,Sora,Rodriguez,2001-11-08
199,Evelyn,Garcia,1987-02-01
200,Zoe,Kim,1947-08-06
201,Mia,Gomes,1981-12-08
202,Noah,Watanabe,1956-05-17
203,Liam,Brown,1991-07-05
204,Daniel,Johnson,1962-08-23
205,Daria,Gomes,1963-12-24
206,Mila,Costa,1946-02-15
207,Charlotte,Thomas,1997-11-12
208,Aria,Garcia,1985-03-02
209,Sofia,Park,1982-10-10
210,Ethan,Thomas,1983-02-16
211,Elijah,Martin,1987-10-11
212,Nora,Gonzalez,1951-04-21
213,Amelia,Martin,1957-06-16
214,James,Almeida,1958-11-20
215,Chloe,Anderson,1998-06-04
216,Yuki,Khan,1963-02-25
217,Avery,Anderson,1994-01-18
218,Hugo,Petit,1940-07-22
219,Sophia,Martin,1986-02-04
220,Samuel,Kim,1967-01-25
221,Lea,Smith,1959-01-18
222,Liam,Moore,1988-07-11
223,Kai,Garcia,1968-03-06
224,Nathan,Pereira,1972-07-17
225,Riley,Dubois,1944-12-25
226,James,Anderson,1965-10-15
227,Olivia,Johnson,1997-12-05
228,Adele,Nakamura,1956-07-15
229,Maya,Sharma,1978-01-02
230,Sofia,Williams,1995-10-01
231,Noe,Thomas,1976-12-09
232,Sora,Patel,1950-04-08
233,Benjamin,Jackson,1945-06-25
234,Lucia,Kim,1986-06-18
235,Lucia,Thomas,1948-11-03
236,James,Anderson,1984-06-12
237,Hugo,Russo,1994-03-21
238,Evelyn,Bianchi,1993-07-21
239,Eden,Williams,1942-04-02
240,Sofia,Johnson,1986-03-06
241,Aarav,Wilson,1956-05-18
242,Aarav,Bianchi,1990-12-09
243,Noah,Thomas,1991-01-14
244,Ava,Wilson,1941-10-19
245,Mateo,Tanaka,1953-12-23
246,Ethan,Moore,1992-08-17
247,Maya,Rodriguez,1973-09-22
248,Isabella,Johnson,1965-11-27
249,Mila,Wilson,1979-11-09
250,Amelia,Brown,1979-11-14
